"13mx -- Vanhojen osakeasuntojen neliöhinnat ja kauppojen lukumäärät kunnittain, vuosittain, 2006-2024"

"Vuosi";"Kunta";"Talotyyppi";"Neliöhinta (EUR/m2)"
"2006";"Espoo";"Rivitalot";2706
"2006";"Espoo";"Kerrostalot";2322
"2006";"Helsinki";"Rivitalot";2827
"2006";"Helsinki";"Kerrostalot";3141
"2006";"Oulu";"Rivitalot";1522
"2006";"Oulu";"Kerrostalot";1549
"2006";"Turku";"Rivitalot";1847
"2006";"Turku";"Kerrostalot";1595
"2006";"Vantaa";"Rivitalot";2298
"2006";"Vantaa";"Kerrostalot";1880
"2007";"Espoo";"Rivitalot";2936
"2007";"Espoo";"Kerrostalot";2535
"2007";"Helsinki";"Rivitalot";2979
"2007";"Helsinki";"Kerrostalot";3310
"2007";"Oulu";"Rivitalot";1534
"2007";"Oulu";"Kerrostalot";1564
"2007";"Turku";"Rivitalot";1858
"2007";"Turku";"Kerrostalot";1713
"2007";"Vantaa";"Rivitalot";2452
"2007";"Vantaa";"Kerrostalot";2035
"2008";"Espoo";"Rivitalot";2982
"2008";"Espoo";"Kerrostalot";2578
"2008";"Helsinki";"Rivitalot";2946
"2008";"Helsinki";"Kerrostalot";3420
"2008";"Oulu";"Rivitalot";1539
"2008";"Oulu";"Kerrostalot";1572
"2008";"Turku";"Rivitalot";1968
"2008";"Turku";"Kerrostalot";1689
"2008";"Vantaa";"Rivitalot";2530
"2008";"Vantaa";"Kerrostalot";2113
"2009";"Espoo";"Rivitalot";2929
"2009";"Espoo";"Kerrostalot";2642
"2009";"Helsinki";"Rivitalot";2921
"2009";"Helsinki";"Kerrostalot";3436
"2009";"Oulu";"Rivitalot";1525
"2009";"Oulu";"Kerrostalot";1649
"2009";"Turku";"Rivitalot";1963
"2009";"Turku";"Kerrostalot";1774
"2009";"Vantaa";"Rivitalot";2493
"2009";"Vantaa";"Kerrostalot";2310
"2010";"Espoo";"Rivitalot";3211
"2010";"Espoo";"Kerrostalot";2907
"2010";"Helsinki";"Rivitalot";3157
"2010";"Helsinki";"Kerrostalot";3831
"2010";"Oulu";"Rivitalot";1590
"2010";"Oulu";"Kerrostalot";1703
"2010";"Turku";"Rivitalot";2035
"2010";"Turku";"Kerrostalot";1929
"2010";"Vantaa";"Rivitalot";2712
"2010";"Vantaa";"Kerrostalot";2523
"2011";"Espoo";"Rivitalot";3290
"2011";"Espoo";"Kerrostalot";3031
"2011";"Helsinki";"Rivitalot";3241
"2011";"Helsinki";"Kerrostalot";4078
"2011";"Oulu";"Rivitalot";1606
"2011";"Oulu";"Kerrostalot";1763
"2011";"Turku";"Rivitalot";2228
"2011";"Turku";"Kerrostalot";1972
"2011";"Vantaa";"Rivitalot";2755
"2011";"Vantaa";"Kerrostalot";2601
"2012";"Espoo";"Rivitalot";3350
"2012";"Espoo";"Kerrostalot";3172
"2012";"Helsinki";"Rivitalot";3278
"2012";"Helsinki";"Kerrostalot";4205
"2012";"Oulu";"Rivitalot";1597
"2012";"Oulu";"Kerrostalot";1766
"2012";"Turku";"Rivitalot";2174
"2012";"Turku";"Kerrostalot";2026
"2012";"Vantaa";"Rivitalot";2795
"2012";"Vantaa";"Kerrostalot";2710
"2013";"Espoo";"Rivitalot";3398
"2013";"Espoo";"Kerrostalot";3232
"2013";"Helsinki";"Rivitalot";3374
"2013";"Helsinki";"Kerrostalot";4375
"2013";"Oulu";"Rivitalot";1634
"2013";"Oulu";"Kerrostalot";1805
"2013";"Turku";"Rivitalot";2151
"2013";"Turku";"Kerrostalot";2087
"2013";"Vantaa";"Rivitalot";2819
"2013";"Vantaa";"Kerrostalot";2747
"2014";"Espoo";"Rivitalot";3331
"2014";"Espoo";"Kerrostalot";3234
"2014";"Helsinki";"Rivitalot";3379
"2014";"Helsinki";"Kerrostalot";4420
"2014";"Oulu";"Rivitalot";1620
"2014";"Oulu";"Kerrostalot";1823
"2014";"Turku";"Rivitalot";2202
"2014";"Turku";"Kerrostalot";2120
"2014";"Vantaa";"Rivitalot";2874
"2014";"Vantaa";"Kerrostalot";2770
"2015";"Espoo";"Rivitalot";3363
"2015";"Espoo";"Kerrostalot";3215
"2015";"Helsinki";"Rivitalot";3352
"2015";"Helsinki";"Kerrostalot";4491
"2015";"Oulu";"Rivitalot";1664
"2015";"Oulu";"Kerrostalot";1915
"2015";"Turku";"Rivitalot";2237
"2015";"Turku";"Kerrostalot";2119
"2015";"Vantaa";"Rivitalot";2814
"2015";"Vantaa";"Kerrostalot";2512
"2016";"Espoo";"Rivitalot";3373
"2016";"Espoo";"Kerrostalot";3347
"2016";"Helsinki";"Rivitalot";3415
"2016";"Helsinki";"Kerrostalot";4602
"2016";"Oulu";"Rivitalot";1695
"2016";"Oulu";"Kerrostalot";1973
"2016";"Turku";"Rivitalot";2276
"2016";"Turku";"Kerrostalot";2204
"2016";"Vantaa";"Rivitalot";2856
"2016";"Vantaa";"Kerrostalot";2526
"2017";"Espoo";"Rivitalot";3428
"2017";"Espoo";"Kerrostalot";3467
"2017";"Helsinki";"Rivitalot";3424
"2017";"Helsinki";"Kerrostalot";4848
"2017";"Oulu";"Rivitalot";1695
"2017";"Oulu";"Kerrostalot";1984
"2017";"Turku";"Rivitalot";2326
"2017";"Turku";"Kerrostalot";2282
"2017";"Vantaa";"Rivitalot";2876
"2017";"Vantaa";"Kerrostalot";2552
"2018";"Espoo";"Rivitalot";3486
"2018";"Espoo";"Kerrostalot";3561
"2018";"Helsinki";"Rivitalot";3528
"2018";"Helsinki";"Kerrostalot";5052
"2018";"Oulu";"Rivitalot";1709
"2018";"Oulu";"Kerrostalot";2050
"2018";"Turku";"Rivitalot";2436
"2018";"Turku";"Kerrostalot";2359
"2018";"Vantaa";"Rivitalot";2943
"2018";"Vantaa";"Kerrostalot";2603
"2019";"Espoo";"Rivitalot";3511
"2019";"Espoo";"Kerrostalot";3685
"2019";"Helsinki";"Rivitalot";3573
"2019";"Helsinki";"Kerrostalot";5257
"2019";"Oulu";"Rivitalot";1719
"2019";"Oulu";"Kerrostalot";2098
"2019";"Turku";"Rivitalot";2488
"2019";"Turku";"Kerrostalot";2455
"2019";"Vantaa";"Rivitalot";2989
"2019";"Vantaa";"Kerrostalot";2642
"2020";"Espoo";"Rivitalot";3636
"2020";"Espoo";"Kerrostalot";3769
"2020";"Helsinki";"Rivitalot";3681
"2020";"Helsinki";"Kerrostalot";5608
"2020";"Oulu";"Rivitalot";1775
"2020";"Oulu";"Kerrostalot";2245
"2020";"Turku";"Rivitalot";2607
"2020";"Turku";"Kerrostalot";2668
"2020";"Vantaa";"Rivitalot";3028
"2020";"Vantaa";"Kerrostalot";2887
"2021";"Espoo";"Rivitalot";3898
"2021";"Espoo";"Kerrostalot";4020
"2021";"Helsinki";"Rivitalot";3882
"2021";"Helsinki";"Kerrostalot";5972
"2021";"Oulu";"Rivitalot";1861
"2021";"Oulu";"Kerrostalot";2311
"2021";"Turku";"Rivitalot";2769
"2021";"Turku";"Kerrostalot";2865
"2021";"Vantaa";"Rivitalot";3197
"2021";"Vantaa";"Kerrostalot";2963
"2022";"Espoo";"Rivitalot";4022
"2022";"Espoo";"Kerrostalot";4145
"2022";"Helsinki";"Rivitalot";4046
"2022";"Helsinki";"Kerrostalot";5993
"2022";"Oulu";"Rivitalot";1979
"2022";"Oulu";"Kerrostalot";2388
"2022";"Turku";"Rivitalot";2848
"2022";"Turku";"Kerrostalot";2965
"2022";"Vantaa";"Rivitalot";3319
"2022";"Vantaa";"Kerrostalot";3044
"2023";"Espoo";"Rivitalot";3802
"2023";"Espoo";"Kerrostalot";3936
"2023";"Helsinki";"Rivitalot";3840
"2023";"Helsinki";"Kerrostalot";5543
"2023";"Oulu";"Rivitalot";1955
"2023";"Oulu";"Kerrostalot";2250
"2023";"Turku";"Rivitalot";2871
"2023";"Turku";"Kerrostalot";2823
"2023";"Vantaa";"Rivitalot";3084
"2023";"Vantaa";"Kerrostalot";2784
"2024";"Espoo";"Rivitalot";3775
"2024";"Espoo";"Kerrostalot";3908
"2024";"Helsinki";"Rivitalot";3697
"2024";"Helsinki";"Kerrostalot";5328
"2024";"Oulu";"Rivitalot";1966
"2024";"Oulu";"Kerrostalot";2265
"2024";"Turku";"Rivitalot";2753
"2024";"Turku";"Kerrostalot";2765
"2024";"Vantaa";"Rivitalot";2979
"2024";"Vantaa";"Kerrostalot";2574
